MsgID.GLOBAL_POSITION,1522544887.9785950,-122.3974504,37.7924785,0.1430000
MsgID.LOCAL_VELOCITY,1522544887.9785950,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544887.9787810,-0.1609243,-0.0378596,-0.1432497
MsgID.LOCAL_VELOCITY,1522544887.9787810,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522544887.9789021,-122.3974499,37.7924787,0.1180000
MsgID.LOCAL_VELOCITY,1522544887.9789021,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544887.9790080,-0.1366649,0.0060158,-0.1183829
MsgID.LOCAL_VELOCITY,1522544887.9790080,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522544887.9791172,-122.3974500,37.7924806,0.0970000
MsgID.LOCAL_VELOCITY,1522544887.9791172,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544887.9792199,0.0751744,-0.0076611,-0.0976380
MsgID.LOCAL_VELOCITY,1522544887.9792199,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522544887.9794261,False,False
MsgID.GLOBAL_HOME,1522544887.9798520,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522544887.9800000,-122.3974480,37.7924814,0.0870000
MsgID.LOCAL_VELOCITY,1522544887.9800000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544887.9801750,0.1569518,0.1700515,-0.0873535
MsgID.LOCAL_VELOCITY,1522544887.9801750,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522544888.1658051,-122.3974490,37.7924813,0.0830000
MsgID.LOCAL_VELOCITY,1522544888.1658051,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544888.1700139,0.1477706,0.0736145,-0.0830197
MsgID.LOCAL_VELOCITY,1522544888.1700139,-0.0000175,0.0000067,0.0000041
MsgID.GLOBAL_POSITION,1522544888.4156370,-122.3974507,37.7924803,0.0820000
MsgID.LOCAL_VELOCITY,1522544888.4156370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544888.4197261,0.0384970,-0.0683874,-0.0825075
MsgID.LOCAL_VELOCITY,1522544888.4197261,0.0000150,-0.0000222,0.0000074
MsgID.GLOBAL_POSITION,1522544888.6649051,-122.3974513,37.7924802,0.0820000
MsgID.LOCAL_VELOCITY,1522544888.6649051,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544888.6689970,0.0233928,-0.1214873,-0.0824997
MsgID.LOCAL_VELOCITY,1522544888.6689970,-0.0000197,-0.0000074,0.0000094
MsgID.STATE,1522544888.9079540,True,True
MsgID.GLOBAL_HOME,1522544894.8044422,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522544894.8045681,-122.3974487,37.7924804,0.0820000
MsgID.LOCAL_VELOCITY,1522544894.8045681,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8046951,0.0008864,0.4038044,-0.0824996
MsgID.LOCAL_VELOCITY,1522544894.8046951,-0.0000146,-0.0000119,0.0000008
MsgID.GLOBAL_POSITION,1522544894.8048060,-122.3974492,37.7924816,0.0820000
MsgID.LOCAL_VELOCITY,1522544894.8048060,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8049128,0.1261719,0.3624560,-0.0824996
MsgID.LOCAL_VELOCITY,1522544894.8049128,-0.0000212,-0.0000015,0.0000066
MsgID.GLOBAL_POSITION,1522544894.8050208,-122.3974500,37.7924805,0.0820000
MsgID.LOCAL_VELOCITY,1522544894.8050208,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8051369,0.0086507,0.2937439,-0.0825083
MsgID.LOCAL_VELOCITY,1522544894.8051369,-0.0000055,-0.0000216,0.0000067
MsgID.GLOBAL_POSITION,1522544894.8052480,-122.3974494,37.7924801,0.0830000
MsgID.LOCAL_VELOCITY,1522544894.8052480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8053482,-0.0382020,0.3386569,-0.0830210
MsgID.LOCAL_VELOCITY,1522544894.8053482,0.0000181,-0.0000191,0.0000142
MsgID.STATE,1522544894.8055229,True,True
MsgID.GLOBAL_HOME,1522544894.8058271,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522544894.8059170,-122.3974491,37.7924810,0.0860000
MsgID.LOCAL_VELOCITY,1522544894.8059170,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8060219,0.0623591,0.3645540,-0.0861227
MsgID.LOCAL_VELOCITY,1522544894.8060219,0.0000117,0.0000015,0.0000149
MsgID.GLOBAL_POSITION,1522544894.8061349,-122.3974508,37.7924792,0.0920000
MsgID.LOCAL_VELOCITY,1522544894.8061349,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8062348,-0.1400786,0.2188864,-0.0921446
MsgID.LOCAL_VELOCITY,1522544894.8062348,-0.0000007,-0.0000068,0.0000060
MsgID.GLOBAL_POSITION,1522544894.8063419,-122.3974520,37.7924797,0.1020000
MsgID.LOCAL_VELOCITY,1522544894.8063419,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8064389,-0.0785756,0.1080112,-0.1021054
MsgID.LOCAL_VELOCITY,1522544894.8064389,-0.0000038,0.0000015,0.0000124
MsgID.GLOBAL_POSITION,1522544894.8065460,-122.3974516,37.7924815,0.1110000
MsgID.LOCAL_VELOCITY,1522544894.8065460,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8066430,0.1192636,0.1502523,-0.1112797
MsgID.LOCAL_VELOCITY,1522544894.8066430,0.0000076,-0.0000073,0.0000150
MsgID.STATE,1522544894.8068039,True,True
MsgID.GLOBAL_HOME,1522544894.8069298,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522544894.8070199,-122.3974515,37.7924808,0.1180000
MsgID.LOCAL_VELOCITY,1522544894.8070199,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8071260,0.0478211,0.1538074,-0.1186262
MsgID.LOCAL_VELOCITY,1522544894.8071260,0.0000124,-0.0000136,0.0000206
MsgID.GLOBAL_POSITION,1522544894.8072460,-122.3974499,37.7924797,0.1190000
MsgID.LOCAL_VELOCITY,1522544894.8072460,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8073471,-0.0795971,0.3022461,-0.1191960
MsgID.LOCAL_VELOCITY,1522544894.8073471,0.0000106,-0.0000107,0.0000126
MsgID.GLOBAL_POSITION,1522544894.8074539,-122.3974484,37.7924799,0.1100000
MsgID.LOCAL_VELOCITY,1522544894.8074539,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8075562,-0.0525152,0.4283401,-0.1104118
MsgID.LOCAL_VELOCITY,1522544894.8075562,0.0000024,0.0000108,0.0000193
MsgID.GLOBAL_POSITION,1522544894.8076689,-122.3974498,37.7924799,0.0930000
MsgID.LOCAL_VELOCITY,1522544894.8076689,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522544894.8077800,-0.0523031,0.3051711,-0.0936885
MsgID.LOCAL_VELOCITY,1522544894.8077800,-0.0000157,0.0000069,0.0000135
MsgID.STATE,1522544894.8079381,True,True
MsgID.GLOBAL_HOME,1522544894.8080618,-122.3974533,37.7924804,0.0000000
